#,日付,ルート,タイプ,備考
23,12/14~15,御岳ロープウェイ〜御岳山〜大岳山〜三頭山〜三頭山避難小屋[泊]〜小河内神社,避難小屋泊・縦走,
22,11/18,広河原登山口〜恵那山〜広河原登山口,日帰り・ピストン,
21,11/17,伊吹登山口〜伊吹山〜伊吹登山口,日帰り・ピストン,
20,11/07,天城峠〜天城山〜ゴルフ場,日帰り・縦走,
19,10/23~24,笹ヶ峰〜火打山〜高谷池テン[泊]〜妙高山〜ロープウェイ,テント泊・縦走,
18,10/10~11,千畳敷〜木曽駒ヶ岳〜頂上山荘[泊]〜千畳敷,テント泊・ピストン,強風とあられ
17,09/26,黒檜山登山口〜赤城山〜黒檜山登山口,日帰り・ピストン,
16,09/25,武尊神社〜武尊山〜武尊神社,日帰り・ピストン,弱雨
15,09/19~20,北沢峠〜甲斐駒ヶ岳〜北沢峠[泊]〜仙丈ヶ岳〜北沢峠,テント泊・ピストン,
14,09/15,三峰神社〜雲取山〜鴨沢,日帰り・縦走,
13,09/07~08,中道ルート〜鳳凰三山〜薬師岳小屋[泊]〜広河原,小屋泊・縦走,雨
12,08/23,飯田駅〜風越山〜飯田駅,日帰り・ピストン,
11,08/13,東大台〜大台ヶ原〜東大台,日帰り・ハイキング,
10,07/25~26,男体山〜菖蒲ヶ浜[泊]〜日光白根山〜湯元温泉,テント泊・ピストン,迷子
9,07/04~05,大清水〜燧ヶ岳〜尾瀬沼ヒュッテ〜至仏山〜鳩尾,テント泊・ピストン,
8,06/26,ロープウェイ〜茶臼岳〜三本槍岳〜朝日岳,日帰り・ハイキング,
7,06/12~13,瑞牆山荘〜金峰山〜富士見平[泊]〜瑞牆山,テント泊・ピストン,
6,05/22~23,御小屋尾根〜八ヶ岳〜赤岳頂上山荘[泊]〜赤岳鉱泉,小屋泊・縦走,
5,05/10,上日川峠〜大菩薩嶺〜大菩薩峠登山口,日帰り・ハイキング,
4,04/25,天神平〜谷川岳〜天神平,日帰り・ピストン,雪山
3,04/18,日向大谷〜両神山〜日向大谷,日帰り・ピストン,
2,01/24,大倉〜丹沢山〜大倉,日帰り・ピストン,
1,01/17,筑波山,日帰り・ハイキング,
