#,日付,ルート,タイプ,備考
6,2014/11/14,筑波山,日帰り・ハイキング,
5,2014/11/01,ヤビツ峠～丹沢山～大倉,日帰り・縦走,時々雨
4,2014/10/24,筑波山,日帰り・ハイキング,
3,2014/08/06～07,富士山吉田〜御来光館[泊]〜富士山〜富士山吉田,山小屋泊・ピストン,
2,2014/05/09,奥入瀬渓流,日帰り・ハイキング,
1,2013/01/30,陣馬高原下〜陣馬山～景信山～城山～高尾山,日帰り・縦走,
