#,日付,ルート,タイプ,備考
36,2019/09/06~08,千畳敷〜木曽殿山荘[泊]〜南駒ヶ岳〜越百山〜越百小屋[泊]〜伊奈川ダム,小屋泊・縦走,中ア中部縦走
35,2019/09/01,大弛峠〜金峰山〜瑞牆山荘,日帰り・ハイキング,
34,2019/08/10~14,West Highland Way(<a href="https://drive.google.com/open?id=1zyElUYS8Lfk4XVjq_0pJyRtrGiwmDnmK&usp=sharing" target="_blank">Map</a>),海外トレッキング,UK
33,2019/08/01~03,新穂高ロープウェイ〜西穂山荘[泊]〜西穂高岳〜奥穂高岳〜穂高岳山荘[泊]〜涸沢〜上高地,小屋泊・縦走,ジャンダルム
32,2019/07/28,羽村駅〜浅間岳〜小作駅,日帰り・ハイキング,
31,2019/07/17~18,第2ゲート〜幌尻山荘[泊]〜幌尻岳〜第2ゲート,避難小屋泊・ハイキング,
30,2019/07/15,望岳台〜十勝岳〜望岳台,日帰り・ハイキング,
29,2019/07/14,トムラウシ短縮登山口〜トムラウシ山〜トムラウシ短縮登山口,日帰り・ハイキング,
28,2019/07/12,旭岳〜黒岳,日帰り・ハイキング,
27,2019/07/07,硯川〜志賀山〜大沼池入口,日帰り・ハイキング,
26,2019/07/06,燕温泉〜妙高山〜燕温泉,日帰り・ハイキング,
25,2019/06/26,二荒山神社〜男体山〜志津〜戦場ヶ原〜赤沢,日帰り・ハイキング,
24,2019/06/02,刈田岳〜蔵王山〜蔵王ロープウェイ山頂駅,日帰り・ハイキング,
23,2019/06/01,姥沢〜月山〜姥沢,日帰り・ハイキング,
22,2019/05/26,富士宮口五合目〜富士山〜富士宮口五合目,日帰り・ハイキング,
21,2019/05/19,摩耶ロープウェー山上駅〜摩耶山〜六甲山〜宝殿橋,日帰り・ハイキング,
20,2019/05/18,葛城ロープウェイ山頂〜葛城山〜水越峠〜金剛山〜伏見峠〜金剛ロープウェイ前,日帰り・ハイキング,ツツジ
19,2019/04/26~05/06,EBC,海外トレッキング,
18,2019/04/21,麦笛のみち,日帰り・ハイキング,関東ふれあいの道
17,2019/04/20,三浦・岩礁のみち,日帰り・ハイキング,関東ふれあいの道
16,2019/04/14,秩父盆地を眺めるみち〜長瀞の自然と歴史を学ぶみち,日帰り・ハイキング,関東ふれあいの道
15,2019/04/13,犬目〜扇山〜百蔵山〜猿橋駅,日帰り・ハイキング,山梨百名山
14,2019/04/06,田貫湖〜長者ヶ岳〜天子ヶ岳〜白糸の滝,日帰り・ハイキング,山梨百名山
13,2019/03/31,井戸〜生藤山〜陣馬山〜矢ノ音〜相模湖駅,日帰り・ハイキング,
12,2019/03/30,小金井サクラ,日帰り・ハイキング,
11,2019/03/09,飯綱山登山口〜飯縄山〜飯綱山登山口,日帰り・ハイキング,
10,2019/03/02,藤野駅〜岩戸山〜小渕山〜鷹取山,日帰り・ハイキング,
9,2019/02/23~24,北八ヶ岳ロープウエイ〜北横岳〜高見石小屋[泊]〜天狗岳〜渋の湯,山小屋泊・縦走,
8,2019/02/16,城ヶ島ハイキング,日帰り・ハイキング,
7,2019/02/10,四方津駅〜高柄山〜御前山〜上野原駅,日帰り・ハイキング,山梨百名山
6,2019/02/02,三岳山,日帰り・ハイキング,龍潭寺
5,2019/01/20,日連アルプス,日帰り・ハイキング,
4,2019/01/19,高麗駅〜日和田山〜武蔵横手駅,日帰り・ハイキング,
3,2019/01/13,天神平〜谷川岳〜天神平,日帰り・ハイキング,雪山
2,2019/01/12,日光駅〜鳴虫山〜東照宮,日帰り・ハイキング,華厳滝、中禅寺湖
1,2019/01/03,Mount Kosciuszko,海外トレッキング,Australia
